mission_name,launch_date,rocket,payload_mass_kg,orbit,launchpad,location,success,Time (UTC),Booster Version,Payload,Customer,Mission Outcome,Landing Outcome,Landing Success,failures,details,payloads
0,2012-05-22,0,525.0,0,0,0,0,7:44:00,34,9,12,1,3,0,3,30,0
0,2012-10-08,0,500.0,0,0,0,0,0:35:00,35,34,13,1,3,0,0,29,1
0,2013-03-01,0,677.0,0,0,0,0,15:10:00,36,40,13,1,3,0,0,42,2
0,2013-09-29,1,500.0,0,3,0,0,16:00:00,38,7,11,1,9,0,0,42,3
0,2013-12-03,1,3170.0,0,0,0,0,22:41:00,37,32,18,1,3,0,0,42,4
0,2014-01-06,1,3325.0,0,0,0,0,22:06:00,37,48,21,1,3,0,0,23,5
0,2014-04-18,1,2296.0,0,0,0,0,19:25:00,37,41,13,1,0,0,0,2,6
0,2014-07-14,1,1316.0,0,0,0,0,15:15:00,37,26,17,1,0,0,0,21,7
0,2014-08-05,1,4535.0,0,0,0,0,8:00:00,37,3,1,1,3,0,0,3,8
0,2014-09-07,1,4428.0,0,0,0,0,5:00:00,40,2,1,1,3,0,0,9,9
0,2014-09-21,1,2216.0,0,0,0,0,5:52:00,39,42,13,1,9,0,0,34,10
0,2015-01-10,1,2395.0,0,0,0,0,9:47:00,41,43,13,1,1,0,0,17,11
0,2015-02-11,1,570.0,0,0,0,0,23:03:00,42,8,25,1,0,0,0,43,12
0,2015-03-02,1,4159.0,0,0,0,0,3:50:00,43,1,0,1,3,0,0,42,13
0,2015-04-14,1,1898.0,0,0,0,0,20:10:00,44,44,13,1,1,0,0,42,14
0,2015-04-27,1,4707.0,0,0,0,0,23:03:00,45,51,23,1,3,0,0,42,15
0,2015-06-28,1,1952.0,0,0,0,0,14:21:00,47,45,13,0,4,0,0,16,16
0,2015-12-22,1,2034.0,0,0,0,0,1:29:00,18,27,17,1,6,1,0,14,17
0,2016-01-17,1,553.0,0,3,0,0,18:42:00,46,24,15,1,2,0,0,37,18
0,2016-03-04,1,5271.0,0,0,0,0,23:35:00,19,33,18,1,2,0,0,18,19
0,2016-04-08,1,3136.0,0,0,0,0,20:43:00,20,46,13,1,5,1,0,42,20
0,2016-05-06,1,4696.0,0,0,0,0,5:21:00,21,22,20,1,7,1,2,22,21
0,2016-05-27,1,3100.0,0,0,0,0,21:39:00,22,49,21,1,5,1,0,44,22
0,2016-06-15,1,3600.0,0,0,0,0,14:29:00,23,0,0,1,1,0,0,12,23
0,2016-07-18,1,2257.0,0,0,0,0,4:45:00,24,47,13,1,8,1,0,35,24
0,2016-08-14,1,4600.0,0,0,0,0,5:26:00,25,23,20,1,7,1,0,5,25
0,2017-01-14,1,9600.0,0,3,0,0,17:54:00,26,16,8,1,5,1,0,24,26
0,2017-02-19,1,2490.0,0,2,0,0,14:39:00,28,35,13,1,8,1,0,25,27
0,2017-03-16,1,5600.0,0,2,0,0,6:00:00,27,10,3,1,3,0,0,27,28
0,2017-03-30,1,5300.0,0,2,0,0,22:27:00,11,29,18,1,7,1,0,0,29
0,2017-05-15,1,6070.0,0,2,0,0,23:21:00,29,14,6,1,3,0,1,39,30
0,2017-06-03,1,2708.0,0,2,0,0,21:07:00,30,36,13,1,8,1,0,31,31
0,2017-06-23,1,3669.0,0,2,0,0,19:10:00,12,6,2,1,7,1,0,8,32
0,2017-06-25,1,9600.0,0,3,0,0,20:25:00,31,17,8,1,7,1,0,4,33
0,2017-07-05,1,6761.0,0,2,0,0,23:38:00,32,15,7,1,3,0,0,15,34
0,2017-08-14,1,3310.0,0,2,0,0,16:31:00,4,37,13,1,8,1,0,13,35
0,2017-08-24,1,475.0,0,3,0,0,18:51:00,33,11,16,1,7,1,0,1,36
0,2017-09-07,1,4990.0,0,2,0,0,14:00:00,5,5,24,1,8,1,0,41,37
0,2017-10-09,1,9600.0,0,3,0,0,12:37:00,6,18,8,1,7,1,0,36,38
0,2017-10-11,1,5200.0,0,2,0,0,22:53:00,13,30,19,1,7,1,0,11,39
0,2017-10-30,1,3500.0,0,2,0,0,19:34:00,7,25,10,1,7,1,0,7,40
0,2017-12-15,1,2205.0,0,1,0,0,15:36:00,15,38,13,1,8,1,0,6,41
0,2017-12-23,1,9600.0,0,3,0,0,1:27:00,16,19,8,1,0,0,0,19,42
0,2018-01-31,1,4230.0,0,1,0,0,21:25:00,14,12,18,1,0,0,0,40,43
0,2018-02-22,1,2150.0,0,3,0,0,14:17:00,17,28,4,1,3,0,0,26,44
0,2018-03-06,1,6092.0,0,1,0,0,5:33:00,8,13,5,1,3,0,0,20,45
0,2018-03-30,1,9600.0,0,3,0,0,14:14:00,2,20,8,1,3,0,0,45,46
0,2018-04-02,1,2647.0,0,1,0,0,20:30:00,0,39,13,1,3,0,0,33,47
0,2018-04-18,1,362.0,0,1,0,0,22:51:00,9,50,14,1,7,1,0,28,48
0,2018-05-11,1,3600.0,0,2,0,0,20:14:00,10,4,22,1,7,1,0,32,49
0,2018-06-04,1,5384.0,0,1,0,0,4:45:00,1,31,18,1,3,0,0,10,51
0,2018-05-22,2,6460.0,0,3,0,0,19:47:58,3,21,9,1,3,0,0,38,50
